,LLOC,FALCON-2284,FALCON-2273,FALCON-2242,FALCON-2303,FALCON-2263,FALCON-2292,FALCON-2287,FALCON-2275,FALCON-2261,FALCON-2286,FALCON-2298,FALCON-2281,FALCON-2279,FALCON-2277,FALCON-2259,FALCON-2293,FALCON-2276,FALCON-2272,FALCON-2271,FALCON-2229,FALCON-2305,FALCON-2290,FALCON-2280,FALCON-2283,FALCON-2267,FALCON-2221,FALCON-2270,FALCON-2266,FALCON-2274,FALCON-2264,FALCON-2268,FALCON-2239,FALCON-2240,FALCON-2238
common/src/main/java/org/apache/falcon/group/FeedGroupMap.java,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/hadoop/HadoopClientFactory.java,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/lifecycle/AbstractPolicyBuilderFactory.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/lifecycle/FeedLifecycleStage.java,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/lifecycle/LifecyclePolicy.java,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/lifecycle/PolicyBuilder.java,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/metrics/MetricNotificationService.java,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/persistence/BacklogMetricBean.java,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/persistence/EntityBean.java,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/persistence/EntitySLAAlertBean.java,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/src/main/java/org/apache/falcon/persistence/ExtensionBean.java,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
